ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketEndpointRoot();1;5;2;3;4;1;0;4;2;2;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBracketEndpointRoot();36;1;1;25;0.6410256410256411;12;0.3157894736842105;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testNullFunction();0;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testNullFunction();4;0;0;3;0.07692307692307693;1;0.02631578947368421;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBadMaximumIterations();1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBadMaximumIterations();6;0;0;5;0.1282051282051282;1;0.02631578947368421;
org.apache.commons.math4.dfp.DfpMath.pow(Dfp,int);9;32;7;24;6;5;1;25;7;18;6;6;6;1;1;0;2;0;org.apache.commons.math4.analysis.solvers.FieldBracketingNthOrderBrentSolverTest.testNeta();0;40;1;31;2;2;0;21;8;13;2;2;2;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.FieldBracketingNthOrderBrentSolverTest.testNeta();158.99595141700405;1;3.854251012145749;30;1;23;0.9200000000000002;
org.apache.commons.math4.filter.KalmanFilter.predict(RealVector);12;14;1;10;10;4;1;7;1;6;3;3;4;1;0;0;1;0;org.apache.commons.math4.filter.KalmanFilterTest.testConstantAcceleration();1;41;27;38;30;2;0;35;24;11;2;2;2;1;0;0;1;0;org.apache.commons.math4.filter.KalmanFilterTest.testConstantAcceleration();7;0;0;6;0.6666666666666666;1;0.3333333333333333;
org.apache.commons.math4.filter.KalmanFilter.predict(RealVector);12;14;1;10;10;4;1;7;1;6;3;3;4;1;0;0;1;0;org.apache.commons.math4.filter.KalmanFilterTest.testCannonball();1;64;33;60;22;2;0;36;28;8;2;2;2;1;0;0;1;0;org.apache.commons.math4.filter.KalmanFilterTest.testCannonball();7;0;0;6;0.6666666666666666;1;0.3333333333333333;
org.apache.commons.math4.filter.KalmanFilter.predict(RealVector);12;14;1;10;10;4;1;7;1;6;3;3;4;1;0;0;1;0;org.apache.commons.math4.filter.KalmanFilterTest.testConstant();1;36;21;32;25;2;0;33;20;13;2;2;2;1;0;0;1;0;org.apache.commons.math4.filter.KalmanFilterTest.testConstant();6;0;0;5;0.5555555555555556;1;0.3333333333333333;
org.apache.commons.math4.dfp.Dfp.toDouble();27;62;10;47;23;292;2;47;10;37;17;17;18;7;7;7;2;7;org.apache.commons.math4.analysis.function.SincTest.testDerivativeShortcut();0;15;7;10;6;2;0;12;8;4;2;2;2;1;0;0;1;0;org.apache.commons.math4.analysis.function.SincTest.testDerivativeShortcut();37.8;1;2.5;43;0.7049180327868854;8;0.05128205128205127;
org.apache.commons.math4.dfp.Dfp.divide(int);36;45;10;35;11;22;1;38;11;27;9;9;10;6;6;6;2;6;org.apache.commons.math4.analysis.solvers.FieldBracketingNthOrderBrentSolverTest.testConvergenceOnFunctionAccuracy();5;27;13;22;13;1;0;19;11;8;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.FieldBracketingNthOrderBrentSolverTest.testConvergenceOnFunctionAccuracy();228.4;1;42.6;26;0.6046511627906977;10;0.39999999999999997;
org.apache.commons.math4.genetics.ListPopulation.getFittestChromosome();3;9;2;5;3;3;0;7;3;4;3;3;3;1;0;0;2;0;org.apache.commons.math4.genetics.GeneticAlgorithmTestBinary.test();4;17;8;15;10;1;0;10;7;3;1;1;1;1;0;0;0;0;org.apache.commons.math4.genetics.GeneticAlgorithmTestBinary.test();58;1;26;8;1;6;0.6666666666666667;
org.apache.commons.math4.genetics.ListPopulation.getFittestChromosome();3;9;2;5;3;3;0;7;3;4;3;3;3;1;0;0;2;0;org.apache.commons.math4.genetics.GeneticAlgorithmTestPermutations.test();4;15;8;13;8;1;0;8;7;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.genetics.GeneticAlgorithmTestPermutations.test();88.75;1;41;8;1;6;0.6666666666666667;
org.apache.commons.math4.genetics.ListPopulation.getFittestChromosome();3;9;2;5;3;3;0;7;3;4;3;3;3;1;0;0;2;0;org.apache.commons.math4.genetics.ListPopulationTest.testGetFittestChromosome();0;31;10;21;3;1;0;18;10;8;1;1;1;1;0;0;0;0;org.apache.commons.math4.genetics.ListPopulationTest.testGetFittestChromosome();13;1;3;8;1;6;0.6666666666666666;
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximization.MultivariateNormalMixtureExpectationMaximization(double[][]);11;20;4;11;6;10;1;12;2;10;5;5;5;1;0;0;2;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testNonEmptyData();0;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testNonEmptyData();4;0;0;3;0.21428571428571427;1;0.08333333333333333;
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximization.MultivariateNormalMixtureExpectationMaximization(double[][]);11;20;4;11;6;10;1;12;2;10;5;5;5;1;0;0;2;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testNonJaggedData();0;7;3;4;1;1;0;3;2;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testNonJaggedData();11;1;1;9;0.6428571428571429;4;0.3333333333333333;
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximization.MultivariateNormalMixtureExpectationMaximization(double[][]);11;20;4;11;6;10;1;12;2;10;5;5;5;1;0;0;2;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testMultipleColumnsRequired();0;6;3;3;1;1;0;3;2;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testMultipleColumnsRequired();8;0;0;7;0.5;1;0.08333333333333333;
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximization.MultivariateNormalMixtureExpectationMaximization(double[][]);11;20;4;11;6;10;1;12;2;10;5;5;5;1;0;0;2;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testMaxIterationsPositive();0;8;6;4;4;1;0;5;4;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testMaxIterationsPositive();405;1;100;8;0.5714285714285714;6;0.5;
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximization.MultivariateNormalMixtureExpectationMaximization(double[][]);11;20;4;11;6;10;1;12;2;10;5;5;5;1;0;0;2;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testThresholdPositive();0;9;6;5;4;1;0;5;4;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testThresholdPositive();405;1;100;8;0.5714285714285714;6;0.5;
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximization.MultivariateNormalMixtureExpectationMaximization(double[][]);11;20;4;11;6;10;1;12;2;10;5;5;5;1;0;0;2;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testConvergenceException();0;8;6;4;4;1;0;5;4;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testConvergenceException();405;1;100;8;0.5714285714285714;6;0.5;
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximization.MultivariateNormalMixtureExpectationMaximization(double[][]);11;20;4;11;6;10;1;12;2;10;5;5;5;1;0;0;2;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testIncompatibleIntialMixture();0;27;11;21;6;1;0;12;7;5;1;1;1;1;0;0;0;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testIncompatibleIntialMixture();17;1;3;8;0.5714285714285714;6;0.5;
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximization.MultivariateNormalMixtureExpectationMaximization(double[][]);11;20;4;11;6;10;1;12;2;10;5;5;5;1;0;0;2;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testFit();0;41;19;35;18;2;0;28;17;11;2;2;2;1;0;0;1;0;org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testFit();405;1;100;8;0.5714285714285714;6;0.5;
org.apache.commons.math4.dfp.Dfp.nextAfter(Dfp);12;51;5;37;16;99;2;38;5;33;11;11;13;3;4;2;2;2;org.apache.commons.math4.dfp.DfpTest.testNextAfter();6;48;1;45;3;1;0;16;1;15;1;1;1;1;0;0;0;0;org.apache.commons.math4.dfp.DfpTest.testNextAfter();18.454545454545453;0;0;44;0.9166666666666666;11;0.1111111111111111;
